timestamp,event_id,event_name,username,domain,source_host,dest_host,source_ip,logon_type,logon_type_name,failure_count_1h,unique_users_1h,unique_hosts_1h,off_hours,is_dc_target,is_admin_account,is_service_acct,privilege_escalation,kerberos_anomaly,attack_type,label
2024-11-01 08:03:01,4769,Successful Logon,user077,CORP,WS004,WS025,192.168.4.181,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 08:03:14,4776,Successful Logon,user026,CORP,WS008,WS048,192.168.2.219,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 08:03:50,4769,Successful Logon,user028,CORP,WS042,WS041,192.168.5.117,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:14:01,4624,Successful Logon,user030,CORP,WS033,WS038,192.168.4.42,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:17:46,4776,Successful Logon,user053,CORP,WS033,WS032,192.168.5.180,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 08:19:18,4768,Successful Logon,user039,CORP,WS026,WS036,192.168.5.17,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 08:22:36,4768,Successful Logon,user017,CORP,WS001,SRV002,192.168.5.253,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:26:06,4776,Successful Logon,user080,CORP,WS047,SRV002,192.168.1.8,10,RemoteInteractive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 08:28:55,4768,Successful Logon,user057,CORP,WS008,SRV004,192.168.1.187,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:29:12,4769,Successful Logon,user036,CORP,WS040,SRV004,192.168.10.225,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:30:59,4768,Successful Logon,user068,CORP,WS011,WS046,192.168.2.56,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 08:35:28,4769,Successful Logon,user024,CORP,WS039,WS045,192.168.9.108,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 08:36:31,4768,Successful Logon,user029,CORP,WS012,WS028,192.168.5.117,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 08:47:46,4768,Successful Logon,user070,CORP,WS006,WS037,192.168.1.187,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 08:59:35,4768,Successful Logon,user049,CORP,WS037,WS015,192.168.5.63,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 09:01:09,4769,Successful Logon,user031,CORP,WS001,WS027,192.168.4.36,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 09:07:48,4769,Successful Logon,user063,CORP,WS045,WS042,192.168.3.179,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 09:10:32,4768,Successful Logon,user035,CORP,WS037,WS026,192.168.2.98,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 09:15:39,4624,Successful Logon,user005,CORP,WS034,WS009,192.168.5.17,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 09:24:13,4776,Successful Logon,user002,CORP,WS026,WS042,192.168.2.98,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 09:31:47,4776,Successful Logon,user034,CORP,WS035,WS046,192.168.5.207,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 09:35:33,4776,Successful Logon,user028,CORP,WS001,WS004,192.168.5.63,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 09:37:49,4776,Successful Logon,user028,CORP,WS018,WS043,192.168.2.98,10,RemoteInteractive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 09:49:32,4776,Successful Logon,user036,CORP,WS050,WS006,192.168.6.42,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 09:51:09,4776,Successful Logon,user031,CORP,WS013,WS050,192.168.5.36,10,RemoteInteractive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 09:52:22,4769,Successful Logon,user063,CORP,WS017,WS024,192.168.10.227,10,RemoteInteractive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 09:52:24,4776,Successful Logon,user036,CORP,WS008,SRV004,192.168.1.195,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 10:03:06,4776,Successful Logon,user060,CORP,WS031,WS039,192.168.2.98,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:03:30,4776,Successful Logon,user067,CORP,WS020,WS030,192.168.4.172,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:07:47,4776,Successful Logon,user075,CORP,WS006,WS050,192.168.2.12,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:10:33,4624,Successful Logon,user010,CORP,WS025,WS009,192.168.9.57,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:10:33,4769,Successful Logon,user062,CORP,WS040,WS039,192.168.5.253,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:10:41,4776,Successful Logon,user003,CORP,WS001,WS026,192.168.2.56,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:13:07,4624,Successful Logon,user055,CORP,WS039,WS017,192.168.4.181,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:16:35,4776,Successful Logon,user073,CORP,WS015,WS048,192.168.10.7,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:18:57,4769,Successful Logon,user029,CORP,WS009,WS040,192.168.5.36,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 10:19:58,4624,Successful Logon,user065,CORP,WS005,WS015,192.168.5.63,10,RemoteInteractive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 10:20:04,4624,Successful Logon,user019,CORP,WS011,WS031,192.168.10.225,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:20:15,4768,Successful Logon,user047,CORP,WS021,WS028,192.168.9.51,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:21:13,4768,Successful Logon,user015,CORP,WS020,WS029,192.168.6.148,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:26:01,4624,Successful Logon,user048,CORP,WS016,WS013,192.168.10.109,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:29:40,4624,Successful Logon,user038,CORP,WS013,WS001,192.168.2.56,10,RemoteInteractive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:31:32,4624,Successful Logon,user069,CORP,WS012,WS011,192.168.1.59,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:40:49,4768,Successful Logon,user012,CORP,WS006,WS002,192.168.7.21,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:44:02,4624,Successful Logon,user076,CORP,WS037,WS038,192.168.1.59,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:46:06,4768,Successful Logon,user037,CORP,WS011,WS049,192.168.5.253,10,RemoteInteractive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 10:48:43,4776,Successful Logon,user028,CORP,WS004,WS014,192.168.10.225,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 10:50:26,4768,Successful Logon,user035,CORP,WS001,WS027,192.168.10.72,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 10:51:12,4624,Successful Logon,user061,CORP,WS028,WS011,192.168.3.179,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 10:56:05,4624,Successful Logon,user017,CORP,WS009,SRV004,192.168.2.98,10,RemoteInteractive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 11:03:49,4776,Successful Logon,user040,CORP,WS029,WS004,192.168.5.117,2,Interactive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 11:13:32,4624,Successful Logon,user011,CORP,WS049,WS037,192.168.6.42,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 11:13:37,4768,Successful Logon,user005,CORP,WS012,SRV005,192.168.2.98,10,RemoteInteractive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 11:17:55,4768,Successful Logon,user031,CORP,WS043,WS023,192.168.4.222,3,Network,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 11:24:26,4776,Successful Logon,user053,CORP,WS037,WS040,192.168.4.130,2,Interactive,0,1,2,0,0,0,0,0,0,normal,0
2024-11-01 11:25:36,4776,Successful Logon,user073,CORP,WS037,WS001,192.168.4.172,10,RemoteInteractive,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 11:28:17,4768,Successful Logon,user018,CORP,WS036,WS022,192.168.2.92,3,Network,0,1,1,0,0,0,0,0,0,normal,0
2024-11-01 11:31:50,4776,Successful Logon,user074,CORP,WS049,WS029,192.168.5.254,3,Network,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 11:34:38,4624,Successful Logon,user027,CORP,WS020,WS012,192.168.1.8,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
2024-11-01 11:34:48,4769,Successful Logon,user050,CORP,WS040,WS049,192.168.1.187,2,Interactive,0,1,3,0,0,0,0,0,0,normal,0
