alert_id,timestamp,severity,attack_type,score,username,source_ip,dest_host,event_id,action
ALERT-37531,2024-11-08 11:01:08,CRITIQUE,Mouvement Latéral,1.0,user077,192.168.4.198,WS030,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-11629,2024-11-20 08:02:55,CRITIQUE,Password Spraying,1.0,user050,192.168.4.234,WS049,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-33259,2024-11-15 17:53:48,CRITIQUE,Password Spraying,1.0,user026,192.168.5.63,WS050,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-46154,2024-11-01 16:08:58,CRITIQUE,Password Spraying,1.0,user049,192.168.9.76,WS049,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-42720,2024-11-27 12:40:23,CRITIQUE,Password Spraying,1.0,user032,192.168.2.250,WS049,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-84258,2024-11-24 12:20:00,CRITIQUE,Password Spraying,1.0,user039,192.168.8.98,DC01,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-53482,2024-11-12 11:27:26,CRITIQUE,Password Spraying,1.0,user013,192.168.7.21,WS043,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-71816,2024-11-30 22:04:39,CRITIQUE,Password Spraying,1.0,user056,169.243.84.68,DC01,4625,Bloquer le compte et isoler la machine immédiatement
ALERT-42512,2024-11-04 12:32:48,CRITIQUE,Password Spraying,1.0,user038,192.168.4.222,WS029,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-80799,2024-11-07 08:52:26,CRITIQUE,Password Spraying,1.0,user023,192.168.6.55,WS040,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-49846,2024-11-27 14:40:13,CRITIQUE,Password Spraying,1.0,user033,192.168.6.155,WS025,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-49982,2024-11-30 22:04:29,CRITIQUE,Mouvement Latéral,1.0,user039,169.243.84.68,DC03,4625,Bloquer le compte et isoler la machine immédiatement
ALERT-97145,2024-11-18 15:07:29,CRITIQUE,Kerberoasting,1.0,user012,192.168.7.88,WS001,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-09341,2024-11-27 14:32:35,CRITIQUE,Password Spraying,1.0,user010,192.168.6.155,WS019,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-51313,2024-11-01 11:13:32,CRITIQUE,Password Spraying,1.0,user011,192.168.6.42,WS037,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-06575,2024-11-15 15:59:09,CRITIQUE,Password Spraying,1.0,user041,192.168.8.102,WS010,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-50878,2024-11-18 11:23:44,CRITIQUE,Kerberoasting,1.0,user033,192.168.4.181,WS004,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-02568,2024-11-04 16:26:39,CRITIQUE,Password Spraying,1.0,user056,192.168.2.219,WS037,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-55409,2024-11-22 10:14:59,CRITIQUE,Password Spraying,1.0,user037,192.168.9.23,WS030,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-37771,2024-11-01 14:39:41,CRITIQUE,Password Spraying,1.0,user019,192.168.4.222,WS034,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-49273,2024-11-04 08:13:38,CRITIQUE,Mouvement Latéral,1.0,user037,192.168.1.8,WS035,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-80022,2024-11-04 08:44:46,CRITIQUE,Mouvement Latéral,1.0,user069,192.168.8.37,WS043,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-90356,2024-11-14 16:47:44,CRITIQUE,Password Spraying,1.0,user010,192.168.9.76,WS044,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-46349,2024-11-20 08:16:56,CRITIQUE,Password Spraying,1.0,user053,192.168.10.109,WS028,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-13793,2024-11-06 11:57:27,CRITIQUE,Password Spraying,1.0,user038,192.168.2.250,WS017,4768,Bloquer le compte et isoler la machine immédiatement
